#{"t_start": 1742559698.5896683, "env_id": "Hopper-v5"}
r,l,t
372.617408,136,931.77843
370.66645,135,932.495011
376.113652,134,933.236354
373.174663,134,939.266894
376.150032,133,939.920898
371.840319,134,940.622474
368.707616,135,941.348724
367.319442,135,947.09928
287.164649,113,947.6811
372.464179,134,948.373891
371.334783,134,949.124783
372.845915,134,954.930918
373.748302,133,955.575182
373.038739,136,956.330942
369.481917,135,962.783566
193.024863,90,963.236774
374.655478,133,964.094868
368.582811,135,964.85296
373.911671,133,965.645528
372.631117,133,971.962791
374.372069,135,972.674032
369.053956,135,973.39295
359.86517,132,979.807559
372.099795,134,980.469812
370.631316,136,981.186311
371.045629,135,981.995389
366.806558,135,987.992514
371.209422,134,988.65101
373.538046,134,989.328277
372.354598,134,990.037314
363.677678,134,995.821397
369.001238,135,996.544272
372.099809,133,997.256845
370.651964,134,998.00972
366.617859,135,1004.109479
373.165204,133,1004.750216
371.633952,135,1005.442864
368.797254,135,1006.208729
365.184554,134,1012.36614
361.504522,134,1013.054971
371.178013,136,1013.860292
372.661887,133,1019.890777
362.460732,134,1020.503755
367.343761,132,1021.207727
367.910105,134,1021.981304
369.121693,134,1028.214029
374.801771,135,1028.87114
369.53964,133,1029.57
367.899575,136,1030.331088
372.826921,134,1036.258115
373.97235,133,1036.850144
243.189934,103,1037.362815
368.935611,135,1038.086161
365.011597,134,1044.065675
367.46098,134,1044.676635
367.666844,134,1045.354436
369.622716,133,1046.071164
363.060079,135,1052.191458
365.296556,133,1052.843453
247.472646,102,1053.425777
357.627559,133,1054.127752
370.448398,133,1060.480148
365.117728,134,1061.115798
361.580021,133,1061.815231
366.370275,133,1062.619656
364.796952,131,1068.911911
362.381395,134,1069.613302
371.292011,132,1070.291044
357.383912,133,1071.03649
240.628467,101,1076.820358
362.410865,132,1077.457836
152.588779,78,1077.83189
355.501334,132,1078.539807
365.690924,133,1084.717037
126.17826,69,1085.06939
370.212833,134,1085.681919
128.983346,70,1086.020379
113.684457,62,1086.311639
365.830182,132,1087.010476
370.847454,134,1093.084067
363.12908,134,1093.763467
367.695169,134,1094.468448
359.199248,134,1100.719037
367.563073,133,1101.391426
367.078998,133,1102.076344
369.47148,133,1102.797491
361.154487,134,1108.789343
366.105482,132,1109.405606
357.932734,132,1110.089243
360.885844,133,1110.82884
362.160702,134,1117.184309
361.965457,132,1117.813336
356.402299,133,1118.482608
366.730958,135,1119.221258
371.824463,133,112330.925411,1000,25621.371378
2069.807038,1000,25695.94842
1044.483458,1000,25771.505665
1048.684239,1000,25846.881358
1049.308768,1000,25922.232841
1750.033837,1000,25997.680627
1050.006771,1000,26073.960559
1051.584122,1000,26149.596349
2203.708063,1000,26225.206827
340.354349,223,26241.959213
346.160195,237,26259.501863
1053.850239,1000,26335.517141
376.751459,231,26352.986679
316.345945,175,26366.087364
261.444186,135,26376.217212
340.174808,185,26390.017725
345.952998,179,26403.468227
341.453796,177,26416.778188
